Wall time,Step,Value
1722539110.982022,0,3.088965892791748
1722539111.878806,1,2.558168649673462
1722539113.021956,2,2.2961645126342773
1722539114.028633,3,3.110222101211548
1722539115.162695,4,2.389981746673584
1722539116.0289,5,2.324510335922241
1722539116.913243,6,2.3045363426208496
1722539118.149188,7,2.299304246902466
1722539119.016557,8,2.293992519378662
1722539119.899317,9,2.268986701965332
1722539120.808249,10,2.2586352825164795
1722539121.713689,11,2.1751708984375
1722539122.565394,12,2.811246395111084
1722539123.460305,13,2.319709539413452
1722539124.369643,14,2.3005990982055664
1722539125.604714,15,2.273984670639038
1722539126.480234,16,2.2367100715637207
1722539127.369293,17,2.2806127071380615
1722539128.249712,18,2.210151433944702
1722539129.169892,19,2.2624528408050537
1722539130.115701,20,2.122370958328247
1722539131.047793,21,2.3205997943878174
1722539131.961644,22,2.195119857788086
1722539132.887596,23,2.1671831607818604
1722539134.120216,24,2.0853850841522217
1722539135.026646,25,1.9003825187683105
1722539135.969084,26,1.8067498207092285
1722539137.217709,27,1.8417447805404663
1722539138.463194,28,3.1502127647399902
1722539139.401209,29,2.4310712814331055
1722539140.397563,30,2.3166089057922363
1722539141.373923,31,2.2857182025909424
1722539142.410229,32,2.229973077774048
1722539143.391954,33,2.256978988647461
1722539144.361608,34,2.2272987365722656
1722539145.358031,35,2.2145442962646484
1722539146.292803,36,2.4357287883758545
1722539147.552376,37,2.302358627319336
1722539148.507902,38,2.1901984214782715
1722539149.537323,39,2.015380859375
1722539150.559355,40,1.914284348487854
1722539151.537721,41,2.0017220973968506
1722539152.502559,42,1.8923060894012451
1722539153.462535,43,1.815329670906067
1722539154.489034,44,1.7740288972854614
1722539155.702999,45,1.7680974006652832
1722539156.650404,46,1.8584624528884888
1722539157.640639,47,1.8987069129943848
1722539158.862167,48,1.832239031791687
1722539160.143595,49,1.792177438735962
1722539161.192517,50,1.7447673082351685
1722539162.170619,51,1.6981816291809082
1722539163.428515,52,1.7098126411437988
1722539164.400492,53,1.7297582626342773
1722539165.380085,54,1.6988648176193237
1722539166.396695,55,1.7001150846481323
1722539167.388084,56,1.710922122001648
1722539168.529743,57,1.7559809684753418
1722539169.737489,58,1.6982189416885376
1722539170.980287,59,1.6960620880126953
1722539172.286823,60,1.6827943325042725
1722539173.671839,61,1.6655117273330688
1722539174.936222,62,1.6389943361282349
1722539176.097456,63,1.7130383253097534
1722539177.146489,64,1.6680431365966797
1722539178.149058,65,1.6474246978759766
1722539179.19121,66,1.735216736793518
1722539180.207644,67,1.6758240461349487
1722539181.313914,68,1.6187320947647095
1722539182.332391,69,1.6186282634735107
1722539183.33683,70,1.5394911766052246
1722539184.374136,71,1.6564806699752808
1722539185.377004,72,1.6587514877319336
1722539186.396152,73,1.631690263748169
1722539187.44506,74,1.5654751062393188
1722539188.530835,75,1.5926079750061035
1722539189.543828,76,1.7012587785720825
1722539190.578842,77,1.6428531408309937
1722539191.647858,78,1.6526236534118652
1722539192.689038,79,1.5997854471206665
1722539193.753987,80,1.520770788192749
1722539194.761884,81,1.5159988403320312
1722539195.788829,82,1.4729163646697998
1722539196.844917,83,1.4954400062561035
1722539197.861102,84,1.5688530206680298
1722539198.891934,85,1.533347487449646
1722539199.948256,86,1.5110770463943481
1722539200.977632,87,1.5501576662063599
1722539202.06526,88,1.4691976308822632
1722539203.299003,89,1.4810150861740112
